date,sku_id,store_id,units_sold,promo_flag,avg_price
2025-12-01,SKU-100,STORE-NYC,35,0,31.99
2025-12-01,SKU-100,STORE-LA,33,0,31.99
2025-12-01,SKU-100,STORE-CHI,28,0,31.99
2025-12-01,SKU-200,STORE-NYC,16,0,23.99
2025-12-01,SKU-200,STORE-LA,25,0,23.99
2025-12-01,SKU-200,STORE-CHI,25,0,23.99
2025-12-01,SKU-300,STORE-NYC,39,1,29.99
2025-12-01,SKU-300,STORE-LA,35,0,29.99
2025-12-01,SKU-300,STORE-CHI,25,0,29.99
2025-12-01,SKU-400,STORE-NYC,29,1,29.99
2025-12-01,SKU-400,STORE-LA,29,0,29.99
2025-12-01,SKU-400,STORE-CHI,19,0,29.99
2025-12-01,SKU-500,STORE-NYC,21,0,33.99
2025-12-01,SKU-500,STORE-LA,31,0,33.99
2025-12-01,SKU-500,STORE-CHI,26,0,33.99
2025-12-02,SKU-100,STORE-NYC,31,0,31.99
2025-12-02,SKU-100,STORE-LA,35,0,31.99
2025-12-02,SKU-100,STORE-CHI,30,0,31.99
2025-12-02,SKU-200,STORE-NYC,17,0,23.99
2025-12-02,SKU-200,STORE-LA,20,0,23.99
2025-12-02,SKU-200,STORE-CHI,26,0,23.99
2025-12-02,SKU-300,STORE-NYC,26,0,29.99
2025-12-02,SKU-300,STORE-LA,32,0,29.99
2025-12-02,SKU-300,STORE-CHI,30,0,29.99
2025-12-02,SKU-400,STORE-NYC,18,0,29.99
2025-12-02,SKU-400,STORE-LA,31,0,29.99
2025-12-02,SKU-400,STORE-CHI,25,0,29.99
2025-12-02,SKU-500,STORE-NYC,20,0,33.99
2025-12-02,SKU-500,STORE-LA,30,0,33.99
2025-12-02,SKU-500,STORE-CHI,28,0,33.99
2025-12-03,SKU-100,STORE-NYC,31,0,31.99
2025-12-03,SKU-100,STORE-LA,30,0,31.99
2025-12-03,SKU-100,STORE-CHI,31,0,31.99
2025-12-03,SKU-200,STORE-NYC,31,1,23.99
2025-12-03,SKU-200,STORE-LA,23,0,23.99
2025-12-03,SKU-200,STORE-CHI,26,0,23.99
2025-12-03,SKU-300,STORE-NYC,24,0,29.99
2025-12-03,SKU-300,STORE-LA,35,0,29.99
2025-12-03,SKU-300,STORE-CHI,27,0,29.99
2025-12-03,SKU-400,STORE-NYC,20,0,29.99
2025-12-03,SKU-400,STORE-LA,29,0,29.99
2025-12-03,SKU-400,STORE-CHI,25,0,29.99
2025-12-03,SKU-500,STORE-NYC,23,0,33.99
2025-12-03,SKU-500,STORE-LA,39,0,33.99
2025-12-03,SKU-500,STORE-CHI,31,0,33.99
2025-12-04,SKU-100,STORE-NYC,34,0,31.99
2025-12-04,SKU-100,STORE-LA,32,0,31.99
2025-12-04,SKU-100,STORE-CHI,31,0,31.99
2025-12-04,SKU-200,STORE-NYC,14,0,23.99
2025-12-04,SKU-200,STORE-LA,22,0,23.99
2025-12-04,SKU-200,STORE-CHI,36,1,23.99
2025-12-04,SKU-300,STORE-NYC,22,0,29.99
2025-12-04,SKU-300,STORE-LA,31,0,29.99
2025-12-04,SKU-300,STORE-CHI,28,0,29.99
2025-12-04,SKU-400,STORE-NYC,24,0,29.99
2025-12-04,SKU-400,STORE-LA,28,0,29.99
2025-12-04,SKU-400,STORE-CHI,24,0,29.99
2025-12-04,SKU-500,STORE-NYC,26,0,33.99
2025-12-04,SKU-500,STORE-LA,28,0,33.99
2025-12-04,SKU-500,STORE-CHI,27,0,33.99
2025-12-05,SKU-100,STORE-NYC,29,0,31.99
2025-12-05,SKU-100,STORE-LA,31,0,31.99
2025-12-05,SKU-100,STORE-CHI,42,1,31.99
2025-12-05,SKU-200,STORE-NYC,21,0,23.99
2025-12-05,SKU-200,STORE-LA,25,0,23.99
2025-12-05,SKU-200,STORE-CHI,35,1,23.99
2025-12-05,SKU-300,STORE-NYC,26,0,29.99
2025-12-05,SKU-300,STORE-LA,31,0,29.99
2025-12-05,SKU-300,STORE-CHI,41,1,29.99
2025-12-05,SKU-400,STORE-NYC,15,0,29.99
2025-12-05,SKU-400,STORE-LA,28,0,29.99
2025-12-05,SKU-400,STORE-CHI,21,0,29.99
2025-12-05,SKU-500,STORE-NYC,22,0,33.99
2025-12-05,SKU-500,STORE-LA,34,0,33.99
2025-12-05,SKU-500,STORE-CHI,26,0,33.99
2025-12-06,SKU-100,STORE-NYC,47,0,31.99
2025-12-06,SKU-100,STORE-LA,37,0,31.99
2025-12-06,SKU-100,STORE-CHI,36,0,31.99
2025-12-06,SKU-200,STORE-NYC,25,0,23.99
2025-12-06,SKU-200,STORE-LA,29,0,23.99
2025-12-06,SKU-200,STORE-CHI,29,0,23.99
2025-12-06,SKU-300,STORE-NYC,30,0,29.99
2025-12-06,SKU-300,STORE-LA,39,0,29.99
2025-12-06,SKU-300,STORE-CHI,35,0,29.99
2025-12-06,SKU-400,STORE-NYC,29,0,29.99
2025-12-06,SKU-400,STORE-LA,40,0,29.99
2025-12-06,SKU-400,STORE-CHI,28,0,29.99
2025-12-06,SKU-500,STORE-NYC,23,0,33.99
2025-12-06,SKU-500,STORE-LA,34,0,33.99
2025-12-06,SKU-500,STORE-CHI,37,0,33.99
2025-12-07,SKU-100,STORE-NYC,36,0,31.99
2025-12-07,SKU-100,STORE-LA,32,0,31.99
2025-12-07,SKU-100,STORE-CHI,34,0,31.99
2025-12-07,SKU-200,STORE-NYC,31,0,23.99
2025-12-07,SKU-200,STORE-LA,27,0,23.99
2025-12-07,SKU-200,STORE-CHI,31,0,23.99
2025-12-07,SKU-300,STORE-NYC,34,0,29.99
2025-12-07,SKU-300,STORE-LA,36,0,29.99
2025-12-07,SKU-300,STORE-CHI,44,0,29.99
2025-12-07,SKU-400,STORE-NYC,28,0,29.99
2025-12-07,SKU-400,STORE-LA,40,0,29.99
2025-12-07,SKU-400,STORE-CHI,25,0,29.99
2025-12-07,SKU-500,STORE-NYC,28,0,33.99
2025-12-07,SKU-500,STORE-LA,51,1,33.99
2025-12-07,SKU-500,STORE-CHI,37,0,33.99
2025-12-08,SKU-100,STORE-NYC,33,0,31.99
2025-12-08,SKU-100,STORE-LA,27,0,31.99
2025-12-08,SKU-100,STORE-CHI,33,0,31.99
2025-12-08,SKU-200,STORE-NYC,20,0,23.99
2025-12-08,SKU-200,STORE-LA,22,0,23.99
2025-12-08,SKU-200,STORE-CHI,22,0,23.99
2025-12-08,SKU-300,STORE-NYC,24,0,29.99
2025-12-08,SKU-300,STORE-LA,41,1,29.99
2025-12-08,SKU-300,STORE-CHI,27,0,29.99
2025-12-08,SKU-400,STORE-NYC,20,0,29.99
2025-12-08,SKU-400,STORE-LA,29,0,29.99
2025-12-08,SKU-400,STORE-CHI,21,0,29.99
2025-12-08,SKU-500,STORE-NYC,20,0,33.99
2025-12-08,SKU-500,STORE-LA,31,0,33.99
2025-12-08,SKU-500,STORE-CHI,33,0,33.99
2025-12-09,SKU-100,STORE-NYC,31,0,31.99
2025-12-09,SKU-100,STORE-LA,31,0,31.99
2025-12-09,SKU-100,STORE-CHI,30,0,31.99
2025-12-09,SKU-200,STORE-NYC,19,0,23.99
2025-12-09,SKU-200,STORE-LA,23,0,23.99
2025-12-09,SKU-200,STORE-CHI,27,0,23.99
2025-12-09,SKU-300,STORE-NYC,17,0,29.99
2025-12-09,SKU-300,STORE-LA,34,0,29.99
2025-12-09,SKU-300,STORE-CHI,29,0,29.99
2025-12-09,SKU-400,STORE-NYC,21,0,29.99
2025-12-09,SKU-400,STORE-LA,31,0,29.99
2025-12-09,SKU-400,STORE-CHI,20,0,29.99
2025-12-09,SKU-500,STORE-NYC,21,0,33.99
2025-12-09,SKU-500,STORE-LA,27,0,33.99
2025-12-09,SKU-500,STORE-CHI,34,0,33.99
2025-12-10,SKU-100,STORE-NYC,34,0,31.99
2025-12-10,SKU-100,STORE-LA,34,0,31.99
2025-12-10,SKU-100,STORE-CHI,30,0,31.99
2025-12-10,SKU-200,STORE-NYC,19,0,23.99
2025-12-10,SKU-200,STORE-LA,23,0,23.99
2025-12-10,SKU-200,STORE-CHI,26,0,23.99
2025-12-10,SKU-300,STORE-NYC,29,0,29.99
2025-12-10,SKU-300,STORE-LA,36,0,29.99
2025-12-10,SKU-300,STORE-CHI,26,0,29.99
2025-12-10,SKU-400,STORE-NYC,19,0,29.99
2025-12-10,SKU-400,STORE-LA,30,0,29.99
2025-12-10,SKU-400,STORE-CHI,21,0,29.99
2025-12-10,SKU-500,STORE-NYC,26,0,33.99
2025-12-10,SKU-500,STORE-LA,31,0,33.99
2025-12-10,SKU-500,STORE-CHI,30,0,33.99
2025-12-11,SKU-100,STORE-NYC,29,0,31.99
2025-12-11,SKU-100,STORE-LA,31,0,31.99
2025-12-11,SKU-100,STORE-CHI,32,0,31.99
2025-12-11,SKU-200,STORE-NYC,22,0,23.99
2025-12-11,SKU-200,STORE-LA,27,0,23.99
2025-12-11,SKU-200,STORE-CHI,20,0,23.99
2025-12-11,SKU-300,STORE-NYC,29,0,29.99
2025-12-11,SKU-300,STORE-LA,34,0,29.99
